,feature,score,abs_score,p-value
127,Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae;Catenibacterium;PAC002523_s,-0.12978813995366123,0.12978813995366123,0.00012356428233037015
74,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Clostridium_g24;FCEY_s,0.11214088215852286,0.11214088215852286,0.0009217510785573755
2,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides_thetaiotaomicron,0.11115409762595341,0.11115409762595341,0.001023294188476088
310,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Sporobacter;PAC001260_s,0.10107748532581173,0.10107748532581173,0.002838397402271543
266,Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae;Holdemania;Holdemania_massiliensis,0.0994638840684944,0.0994638840684944,0.0033158532771060695
322,Bacteria;Firmicutes;Clostridia;Clostridiales;Mogibacterium_f;PAC001609_g;PAC001609_g_uc,-0.09418448620534377,0.09418448620534377,0.005432017112250502
83,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;PAC000196_g;PAC001150_s,-0.09350999414354477,0.09350999414354477,0.00577601353683648
152,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Ruminococcus_g4;Ruminococcus_faecis,-0.09345872004210015,0.09345872004210015,0.005802948975162158
217,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Syntrophococcus;PAC002313_s,0.09222149043367604,0.09222149043367604,0.006488128909608743
308,Bacteria;Firmicutes;Clostridia;Clostridiales;Eubacteriaceae;Eubacterium;Eubacterium_limosum_group,0.09024784807228083,0.09024784807228083,0.007732348975867287
249,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Coprococcus_g2;EU460192_s,-0.08979544011585476,0.08979544011585476,0.00804602581038694
207,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides_ovatus_group,0.08920496752872796,0.08920496752872796,0.008472518471310116
351,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Coprococcus_g2;Coprococcus_g2_uc,0.0877121692684243,0.0877121692684243,0.00964207497791596
